"horario_inicial","horario_final","local","carros","motos","onibus","caminhoes","total_motorizados","mulheres_ciclistas","homens_ciclistas","total_ciclistas","mulheres_pedestres","homens_pedestres","total_pedestres","pedestres_com_cachorro","pedestres_sem_cachorro"
"14:00","14:15","burrinhos",900,430,2,10,1342,0,12,12,10,48,58,0,58
"14:00","14:15","jackson",162,52,2,7,223,0,6,6,11,8,19,0,19
"14:15","14:30","bobs",224,57,1,5,287,0,4,4,16,22,38,0,38
"14:15","14:30","burrinhos",844,312,3,12,1171,0,5,5,23,34,57,0,57
"14:15","14:30","jackson",149,45,2,0,196,0,2,2,10,13,23,0,23
"14:30","14:45","bobs",150,45,0,2,197,0,3,3,11,13,24,0,24
"14:30","14:45","burrinhos",761,329,4,13,1107,1,14,15,23,39,62,0,62
"14:30","14:45","jackson",129,64,1,5,199,0,2,2,12,8,20,0,20
"14:45","15:00","bobs",187,62,0,5,254,0,10,10,7,17,24,2,22
"14:45","15:00","burrinhos",751,340,4,11,1106,0,11,11,26,42,68,0,68
"14:45","15:00","jackson",139,65,2,3,209,0,5,5,15,14,29,0,29
"15:00","15:15","bobs",172,41,0,0,213,0,10,10,15,18,33,0,33
"15:00","15:15","burrinhos",723,336,4,5,1068,2,9,11,28,36,64,0,64
"15:00","15:15","jackson",131,48,3,2,184,1,6,7,4,20,24,0,24
"15:15","15:30","bobs",135,57,0,2,194,1,9,10,9,17,26,0,26
"15:15","15:30","burrinhos",699,338,9,15,1061,0,14,14,41,37,78,1,77
"15:15","15:30","jackson",160,48,1,3,212,1,7,8,5,14,19,0,19
"15:30","15:45","bobs",191,79,0,3,273,1,6,7,20,48,68,0,68
"15:30","15:45","burrinhos",744,352,5,10,1111,1,14,15,22,34,56,0,56
"15:30","15:45","jackson",121,63,2,7,193,1,6,7,11,18,29,0,29
"15:45","16:00","bobs",159,52,0,1,212,4,10,14,33,50,83,0,83
"15:45","16:00","burrinhos",714,360,7,12,1093,0,9,9,40,38,78,0,78
"15:45","16:00","jackson",145,36,3,4,188,0,7,7,17,33,50,0,50
"16:00","16:15","bobs",173,78,0,2,253,3,23,26,59,115,174,0,174
"16:00","16:15","burrinhos",718,371,6,12,1107,0,11,11,40,45,85,0,85
"16:00","16:15","jackson",168,61,0,4,233,2,9,11,9,39,48,0,48
"16:15","16:30","bobs",170,63,1,0,234,7,23,30,38,59,97,0,97
"16:15","16:30","burrinhos",821,318,5,13,1157,1,21,22,37,61,98,0,98
"16:15","16:30","jackson",160,64,1,4,229,5,18,23,39,71,110,0,110
"16:30","16:45","bobs",168,60,0,1,229,4,22,26,24,56,80,0,80
"16:30","16:45","burrinhos",617,345,5,20,987,0,15,15,45,52,97,0,97
"16:30","16:45","jackson",164,62,0,4,230,4,29,33,53,68,121,0,121
"16:45","17:00","bobs",205,96,0,2,303,3,43,46,81,103,184,0,184
"16:45","17:00","burrinhos",686,333,5,4,1028,1,22,23,40,67,107,0,107
"16:45","17:00","jackson",161,82,2,8,253,11,38,49,63,70,133,0,133
"17:00","17:15","bobs",191,100,0,0,291,7,38,45,116,126,242,0,242
"17:00","17:15","burrinhos",749,410,10,8,1177,0,15,15,55,73,128,0,128
"17:00","17:15","jackson",143,51,4,5,203,3,30,33,53,133,186,0,186
"17:15","17:30","bobs",181,61,2,2,246,9,34,43,82,120,202,5,197
"17:15","17:30","burrinhos",921,382,11,9,1323,0,32,32,36,86,122,0,122
"17:15","17:30","jackson",160,66,2,2,230,6,26,32,83,141,224,0,224
"17:30","17:45","bobs",209,69,2,1,281,9,28,37,113,172,285,4,281
"17:30","17:45","burrinhos",866,334,7,13,1220,0,18,18,32,93,125,0,125
"17:30","17:45","jackson",188,72,4,3,267,4,31,35,73,134,207,0,207
"17:45","18:00","bobs",190,76,1,1,268,4,32,36,79,132,211,5,206
"17:45","18:00","burrinhos",792,323,29,7,1151,0,19,19,28,73,101,0,101
"17:45","18:00","jackson",121,64,6,10,201,6,20,26,75,166,241,0,241
"18:00","18:15","bobs",215,90,0,0,305,0,20,20,86,116,202,0,202
"18:00","18:15","burrinhos",538,420,20,6,984,0,14,14,54,75,129,0,129
"18:00","18:15","jackson",125,70,7,0,202,2,22,24,56,135,191,0,191
"18:15","18:30","bobs",170,76,0,0,246,1,18,19,79,145,224,0,224
"18:15","18:30","burrinhos",553,301,24,9,887,0,12,12,47,58,105,0,105
"18:15","18:30","jackson",147,64,11,8,230,7,12,19,77,135,212,0,212
"18:30","18:45","bobs",181,82,2,1,266,0,20,20,69,124,193,0,193
"18:30","18:45","burrinhos",540,185,10,6,741,0,9,9,31,48,79,0,79
"18:30","18:45","jackson",120,61,6,3,190,3,17,20,60,139,199,0,199
"18:45","19:00","bobs",161,76,1,3,241,0,16,16,60,143,203,0,203
"18:45","19:00","burrinhos",439,259,5,4,707,0,4,4,35,49,84,1,83
"18:45","19:00","jackson",121,64,1,2,188,2,18,20,82,141,223,0,223
"19:00","19:15","bobs",116,64,0,0,180,0,29,29,64,134,198,0,198
"19:00","19:15","burrinhos",433,262,7,5,707,1,6,7,25,37,62,0,62
"19:00","19:15","jackson",119,49,1,2,171,0,18,18,66,134,200,0,200
"19:15","19:30","bobs",144,53,0,1,198,1,24,25,52,102,154,0,154
"19:15","19:30","burrinhos",318,178,0,4,500,0,7,7,4,28,32,0,32
"19:15","19:30","jackson",101,43,1,2,147,0,21,21,63,113,176,0,176
"19:30","19:45","bobs",154,38,0,1,193,1,15,16,39,93,132,0,132
"19:30","19:45","burrinhos",293,137,4,1,435,0,3,3,11,27,38,0,38
"19:30","19:45","jackson",79,36,1,1,117,0,28,28,63,108,171,0,171
"19:45","20:00","bobs",148,34,0,0,182,2,15,17,22,78,100,0,100
"19:45","20:00","burrinhos",251,154,2,1,408,1,5,6,9,33,42,0,42
"19:45","20:00","jackson",73,48,1,0,122,2,23,25,40,84,124,0,124
"20:00","20:15","bobs",109,49,0,0,158,3,33,36,14,52,66,0,66
"20:00","20:15","burrinhos",296,172,1,1,470,0,1,1,6,25,31,1,30
"20:00","20:15","jackson",105,45,1,1,152,1,20,21,25,66,91,0,91
"20:15","20:30","bobs",107,53,0,0,160,0,4,4,9,45,54,0,54
"20:15","20:30","burrinhos",233,109,1,1,344,1,3,4,5,18,23,1,22
"20:15","20:30","jackson",66,17,0,2,85,0,7,7,23,57,80,0,80
"20:30","20:45","bobs",105,39,0,1,145,2,6,8,15,37,52,0,52
"20:30","20:45","burrinhos",221,113,0,0,334,0,0,0,4,19,23,0,23
"20:30","20:45","jackson",65,32,1,3,101,0,6,6,24,40,64,0,64
"20:45","21:00","bobs",73,32,0,2,107,0,1,1,11,28,39,0,39
"20:45","21:00","burrinhos",279,131,0,1,411,11,89,100,7,25,32,0,32
"20:45","21:00","jackson",88,15,0,1,104,0,6,6,17,37,54,0,54
